claveCarrera,nombre,nombreCorto
20ISIC-2010-224-DIS,Ingeniería en Sistemas Computacionales,SISTEMAS
23IIND-2010-227-DIS,Ingeniería Industrial,INDUSTRIAL
23IIND-2010-227-MXT,Ingeniería Industrial,INDUSTRIAL
IELC-2004-292,Ingeniería Electrónica,ELECTRONICA
IELE-2010-209,Ingeniería Eléctrica,ELECTRICA
IGEM-2009-201,Ingeniería en Gestión Empresarial,GESTION
IGEM-2009-201-MXT,Ingeniería en Gestión Empresarial,GESTION
IIND-2010-227,Ingeniería Industrial,INDUSTRIAL
IINF-2010-220,Ingeniería Informática,INFORMATICA
ILOG-2009-202,Ingeniería en Logística,LOGISTICA
IMCT-2010-229,Ingeniería Mecatrónica,MECATRONICA
IMCT-2010-230,Ingeniería Mecatrónica,MECATRONICA
IMCT-2010-231,Ingeniería Mecatrónica,MECATRONICA
IMEC-2010-228,Ingeniería Mecánica,MECANICA
ISEM-2023-244,Ing. En semiconductores,SEMICONDUCTORES
ISIC-2010-224,Ingeniería en Sistemas Computacionales,SISTEMAS
ISIC-2010-224-MXT,Ingeniería en Sistemas Computacionales,SISTEMAS
LADM-2010-234,Licenciatura en Administración,ADMIN 
LADM-2010-234-DIS,Licenciatura en Administración,ADMIN 
LADM-2010-234-MXT,Licenciatura en Administración,ADMIN 
LTUR-2012-237,Licenciatura en Turismo,TURISMO
