claveCarrera,nombre,nombreCorto
508130008,Ingenieria Forestal / 2010 / Escolarizado,FORESTAL ESC
5052300003,Ingenieria En Geociencias / 2010 / Escolarizado,GEOCIENCIAS ESC
5071300028,Ingenieria Electromecanica / 2010 /,ELECTROMECANICA 
5071300038,Ingenieria Electronica / 2010 /,ELECTRONICA
5071700019,Ingenieria Industrial Mixto / 2010 / Abierto,INDUSTRIAL MIX
5072100010,Ingenieria En Industrias Alimentarias / 2010 / Escolarizado,ALIMENTARIAS ESC
5072400017,Ingenieria Petrolera / 2010 /,PETROLERA
5073200006,Ingenieria Civil / 2010 /,CIVIL
5042100050-1,Ingenieria En Gestion Empresarial / 2009 / Escolarizado,GESTION ESC
5042100134-2,Ingenieria En Gestion Empresarial Mixto / 2012 / Abierto,GESTION MIXTO
5061300046-1,Ingenieria En Sistemas Computacionales / 2010 / Escolarizado,SISTEMAS ESC
5061300046-2,Ingenieria En Sistemas Computacionales Sabatino / 2010 / Abierto,SISTEMAS SAB
5071700019-1,Ingenieria Industrial Escolarizado,INDUSTRIAL ESC
5071700019-2,Ingenieria Industrial Mixto / 2010 / Abierto,INDUSTRIAL MIX
5071700019-3,Ingeniería Industrial No Escolarizada / 2010 / A distancia,INDUSTRIAL DIST
5073200005,Ingenieria Civil / 2010 /,CIVIL
