claveCarrera,nombre,nombreCorto
CIV,Ingeniería Civil / 3 / Escolarizado,CIVIL ESC
DCD,Ingeniería En Desarrollo Comunitario_ Presencial / 3 / Escolarizado,COMUN ESC
GED,Ingeniería En Gestión Empresarial_ Presencial / 3 / Escolarizado,GESTION ESC
IDC,Ingeniería En Desarrollo Comunitario_ En Línea / 3 / A distancia,COMUN DIS
IEN,Ingeniería En Energías Renovables / 1 / Escolarizado,ENERGIAS ESC
IFE,Ingeniería Ferroviaria / 3 / Escolarizado,FERROVIARIA ESC
IID,Ingeniería Industrial_ Presencial / 3 / Escolarizado,INDUSTRIAL ESC
L03,Ingeniería En Gestión Empresarial_En Línea / 2 / A distancia,GESTION DIS
L04,Ingeniería Industrial_En Línea / 3 / A distancia,INDUSTRIAL DIS
LAD,Licenciatura En Administración / 3 / A distancia,ADMIN DIS
LAP,Licenciatura En Administración / 3 / Escolarizado,ADMIN ESC
MCI,Maestría En Ciencias De La Ingeniería / 1 / Escolarizado,MAESTRIA CIENCIAS ESC
