claveCarrera,nombre,nombreCorto
IADM-2010-213       ,INGENIERÍA EN ADMINISTRACIÓN,ADMIN
IAMB-2010-206       ,INGENIERÍA AMBIENTAL,AMBIENTAL
ICIV-2010-208       ,INGENIERÍA CIVIL,CIVIL
IIAL-2010-219       ,INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,ALIMENTARIAS
IIND-2010-227       ,INGENIERÍA INDUSTRIAL,INDUSTRIAL
IMCT-2010-229       ,INGENIERÍA MECATRÓNICA,MECATRONICA
IMIN-2013-241       ,INGENIERÍA EN MINERÍA,MINERIA
ISEM-2023-244       ,INGENIERÍA EN SEMICONDUCTORES,SEMICONDUCTORES
ISIC-2010-224       ,INGENIERÍA EN SISTEMAS COMPUTACIONALES,SISTEMAS
ITIC-2010-225       ,INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES,TICS
