claveCarrera,nombre,nombreCorto
ARQU-2010-204,ARQUITECTURA,ARQUI
COPU-2010-205,CONTADOR PUBLICO,CONTADOR
ICIV-2010-208,INGENIERIA CIVIL,CIVIL
IELE-2010-209,INGENIERIA ELECTRICA,ELECTRICA
IEME-2010-210,INGENIERIA ELECTROMECANICA,ELECTRONICA
IFER-2023-245,INGENIERIA FERROVIARIA,FERROVIARIA
IGEM-2009-201,INGENIERIA EN GESTION EMPRESARIAL,GESTION
IIND-2010-227,INGENIERIA INDUSTRIAL,INDUSTRIAL
IMCT-2010-229,INGENIERIA MECATRONICA,MECATRONICA
IMEC-2010-228,INGENIERIA MECANICA,MECANICA
ISIC-2010-224,INGENIERIA EN SISTEMAS COMPUTACIONALES,SISTEMAS
IINF-2010-220,INGENIERIA INFORMATICA,INFORMATICA
